text,size,topic
acid_addition,10,3
cancer_cells,11,3
pharmaceutically_acceptable_salts,33,3
combined_preparation,12,3
lung_injury,17,3
pharmaceutically_acceptable_salt,148,3
therapeutic_agent,40,3
optionally_substituted,11,3
therapeutic_agents,22,3
therapeutically_effective,62,3
combination_therapy,49,3
pharmaceutical_compositions,106,3
prevention_prophylaxis,24,3
therapeutic_effect,15,3
side_effects,11,3
pharmaceutically_acceptable,217,3
skilled_person,22,3
therapeutically_effective_amount,58,3
